Item,Cost,Product Url,Model Url,Swatch Url,Item Url,RGB
New York Jets Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=14,https://img.abercrombie.com/is/image/anf/KIC_123-3175-3334-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3175-3334-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3175-3334-100_prod1?policy=product-xsmall,[119 122 106]
New York Jets Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/new-york-jets-graphic-tee-57733678?categoryId=12202&faceout=model&seq=09,https://img.abercrombie.com/is/image/anf/KIC_123-4128-00275-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4128-00275-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4128-00275-100_prod1?policy=product-xsmall,[68 50 58]
New York Jets Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/new-york-jets-graphic-tee-57733678?categoryId=12202&faceout=model&seq=09,https://img.abercrombie.com/is/image/anf/KIC_123-4091-00268-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4091-00268-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4091-00268-100_prod1?policy=product-xsmall,[128 103 100]
New York Jets Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=14,https://img.abercrombie.com/is/image/anf/KIC_123-3167-3328-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3167-3328-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3167-3328-100_prod1?policy=product-xsmall,[66 64 80]
New York Jets Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/new-york-jets-graphic-tee-57733678?categoryId=12202&faceout=model&seq=09,https://img.abercrombie.com/is/image/anf/KIC_123-4133-00285-203_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4133-00285-203_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4133-00285-203_prod1?policy=product-xsmall,[ 41  65 116]
New York Jets Varsity Bomber Jacket,$220,https://www.abercrombie.com/shop/us/p/dallas-cowboys-varsity-bomber-jacket-57695419?categoryId=12202&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_132-4081-00110-908_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_132-4081-00110-908_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_132-4081-00110-908_prod1?policy=product-xsmall,[67 63 62]
New York Jets Varsity Bomber Jacket,$220,https://www.abercrombie.com/shop/us/p/dallas-cowboys-varsity-bomber-jacket-57695419?categoryId=12202&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_132-4071-00058-338_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_132-4071-00058-338_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_132-4071-00058-338_prod1?policy=product-xsmall,[42 55 54]
New York Jets Varsity Bomber Jacket,$220,https://www.abercrombie.com/shop/us/p/dallas-cowboys-varsity-bomber-jacket-57695419?categoryId=12202&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_132-4072-00057-228_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_132-4072-00057-228_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_132-4072-00057-228_prod1?policy=product-xsmall,[ 23  81 133]
New York Jets Varsity Bomber Jacket,$220,https://www.abercrombie.com/shop/us/p/dallas-cowboys-varsity-bomber-jacket-57695419?categoryId=12202&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_132-4083-00092-208_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_132-4083-00092-208_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_132-4083-00092-208_prod1?policy=product-xsmall,[34 38 50]
New York Jets Vintage-Inspired Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/new-york-jets-vintage-inspired-graphic-tee-57521516?categoryId=12202&faceout=model&seq=30,https://img.abercrombie.com/is/image/anf/KIC_123-4107-00218-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4107-00218-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4107-00218-100_prod1?policy=product-xsmall,[71 80 85]
New York Jets Vintage-Inspired Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/new-york-jets-vintage-inspired-graphic-tee-57521516?categoryId=12202&faceout=model&seq=30,https://img.abercrombie.com/is/image/anf/KIC_123-4084-00213-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4084-00213-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4084-00213-100_prod1?policy=product-xsmall,[151 142 139]
New York Jets Vintage-Inspired Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/new-york-jets-vintage-inspired-graphic-tee-57521516?categoryId=12202&faceout=model&seq=30,https://img.abercrombie.com/is/image/anf/KIC_123-4085-00212-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4085-00212-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-4085-00212-100_prod1?policy=product-xsmall,[101  97  94]
